Date/Time,Word Count,en,es,pt
2024.04.07-12.18.42,0,0,0,0
2024.04.07-12.22.30,7,7,0,0
2024.04.07-12.34.28,0,0,0,0
2024.04.07-12.35.01,5,5,0,0
2024.04.07-12.45.01,0,0,0,0
2024.04.07-12.45.35,5,5,0,0
2024.04.07-12.47.10,5,5,0,5
2024.04.07-13.37.15,7,7,0,5
2024.04.07-13.38.15,7,7,0,7
2024.04.07-21.29.39,11,11,0,7
2024.04.07-21.30.31,11,11,0,11
2024.04.08-19.40.30,13,13,0,11
2024.04.08-19.41.11,13,13,0,13
2024.04.08-19.50.43,13,13,0,11
2024.04.09-12.49.42,13,13,0,13
2024.04.10-11.11.28,39,39,0,13
2024.04.10-11.13.37,39,39,0,39
2024.04.11-15.25.31,47,47,0,39
2024.04.11-15.26.19,47,47,0,47
